countries,feature,value,confidence
Afghan,5oclock shadow,no,1.0
Afghan,arched eyebrows,no,0.45
Afghan,attractive,no,0.55
Afghan,bags under eyes,no,0.68
Afghan,bald,no,0.86
Afghan,bangs,no,0.74
Afghan,beard,no,1.0
Afghan,big lips,no,0.64
Afghan,big nose,no,1.0
Afghan,black hair,no,0.36
Afghan,blond hair,no,0.61
Afghan,blurry,yes,0.52
Afghan,brown hair,yes,0.21
Afghan,bushy eyebrows,no,0.65
Afghan,chubby,no,0.65
Afghan,double chin,no,1.0
Afghan,expression,neutral,0.72
Afghan,gender,female,0.96
Afghan,glasses,no,1.0
Afghan,goatee,no,1.0
Afghan,gray hair,no,1.0
Afghan,heavy makeup,no,0.89
Afghan,high cheekbones,no,0.52
Afghan,mouth open,no,0.71
Afghan,mustache,no,1.0
Afghan,narrow eyes,no,0.1
Afghan,oval face,yes,0.52
Afghan,pale skin,no,0.66
Afghan,pointy nose,no,1.0
Afghan,race,white,0.98
Afghan,receding hairline,no,0.46
Afghan,rosy cheeks,no,1.0
Afghan,sideburns,no,1.0
Afghan,straight hair,yes,0.28
Afghan,wavy hair,no,0.89
Afghan,wearing earrings,no,0.16
Afghan,wearing hat,no,0.3
Afghan,wearing lipstick,no,0.47
Afghan,wearing necklace,no,0.3
Afghan,wearing necktie,no,1.0
Afghan,young,yes,0.81
African American,5oclock shadow,no,1.0
African American,arched eyebrows,yes,0.19
African American,attractive,no,0.22
African American,bags under eyes,no,0.59
African American,bald,no,0.64
African American,bangs,no,0.71
African American,beard,no,0.97
African American,big lips,no,0.01
African American,big nose,no,0.35
African American,black hair,yes,0.99
African American,blond hair,no,0.93
African American,blurry,yes,0.03
African American,brown hair,no,0.89
African American,bushy eyebrows,no,0.67
African American,chubby,no,0.17
African American,double chin,no,0.6
African American,expression,smile,0.18
African American,gender,female,1.0
African American,glasses,no,1.0
African American,goatee,no,0.97
African American,gray hair,no,1.0
African American,heavy makeup,yes,0.06
African American,high cheekbones,yes,0.41
African American,mouth open,no,0.86
African American,mustache,no,0.95
African American,narrow eyes,no,0.22
African American,oval face,yes,0.66
African American,pale skin,no,0.68
African American,pointy nose,no,1.0
African American,race,black,0.91
African American,receding hairline,yes,0.07
African American,rosy cheeks,no,0.8
African American,sideburns,no,1.0
African American,straight hair,yes,0.4
African American,wavy hair,no,0.81
African American,wearing earrings,yes,0.26
African American,wearing hat,no,0.61
African American,wearing lipstick,yes,0.38
African American,wearing necklace,yes,0.03
African American,wearing necktie,no,1.0
African American,young,yes,0.69
Cambodian,5oclock shadow,no,1.0
Cambodian,arched eyebrows,no,0.27
Cambodian,attractive,no,0.14
Cambodian,bags under eyes,no,0.67
Cambodian,bald,no,0.87
Cambodian,bangs,no,0.67
Cambodian,beard,no,1.0
Cambodian,big lips,no,0.71
Cambodian,big nose,no,0.97
Cambodian,black hair,yes,0.02
Cambodian,blond hair,no,0.75
Cambodian,blurry,yes,0.43
Cambodian,brown hair,yes,0.2
Cambodian,bushy eyebrows,no,0.82
Cambodian,chubby,no,0.49
Cambodian,double chin,no,0.85
Cambodian,expression,smile,0.28
Cambodian,gender,female,1.0
