countries,feature,value,confidence,meaning
Afghan,5oclock shadow,yes,0.55,1
Afghan,arched eyebrows,no,0.66,1
Afghan,attractive,no,0.67,1
Afghan,bags under eyes,yes,0.07,1
Afghan,bald,no,0.68,1
Afghan,bangs,no,0.69,1
Afghan,beard,yes,0.66,1
Afghan,big lips,no,0.45,1
Afghan,big nose,no,0.04,1
Afghan,black hair,yes,0.59,1
Afghan,blond hair,no,1.0,1
Afghan,blurry,no,0.13,1
Afghan,brown hair,no,0.75,1
Afghan,bushy eyebrows,yes,0.75,1
Afghan,chubby,no,0.08,1
Afghan,double chin,no,0.47,1
Afghan,expression,neutral,0.57,1
Afghan,gender,male,1.0,1
Afghan,glasses,no,1.0,1
Afghan,goatee,yes,0.33,1
Afghan,gray hair,no,1.0,1
Afghan,heavy makeup,no,0.96,1
Afghan,high cheekbones,no,0.39,1
Afghan,mouth open,no,0.91,1
Afghan,mustache,yes,0.34,1
Afghan,narrow eyes,no,0.12,1
Afghan,oval face,yes,0.26,1
Afghan,pale skin,no,1.0,1
Afghan,pointy nose,no,0.91,1
Afghan,race,white,0.54,1
Afghan,receding hairline,no,0.86,1
Afghan,rosy cheeks,no,0.9,1
Afghan,sideburns,yes,0.23,1
Afghan,straight hair,yes,0.31,1
Afghan,wavy hair,no,1.0,1
Afghan,wearing earrings,no,0.82,1
Afghan,wearing hat,yes,0.05,1
Afghan,wearing lipstick,no,0.99,1
Afghan,wearing necklace,no,0.9,1
Afghan,wearing necktie,no,0.14,1
Afghan,young,yes,0.35,1
African American,5oclock shadow,yes,0.38,1
African American,arched eyebrows,no,0.29,1
African American,attractive,no,0.81,1
African American,bags under eyes,no,0.14,1
African American,bald,yes,0.1,1
African American,bangs,no,1.0,1
African American,beard,yes,0.95,1
African American,big lips,yes,0.56,1
African American,big nose,yes,0.56,1
African American,black hair,yes,0.27,1
African American,blond hair,no,1.0,1
African American,blurry,no,0.6,1
African American,brown hair,no,0.57,1
African American,bushy eyebrows,yes,0.65,1
African American,chubby,yes,0.3,1
African American,double chin,no,0.22,1
African American,expression,neutral,0.71,1
African American,gender,male,0.95,1
African American,glasses,no,1.0,1
African American,goatee,yes,0.89,1
African American,gray hair,no,0.96,1
African American,heavy makeup,no,0.98,1
African American,high cheekbones,no,0.43,1
African American,mouth open,no,0.78,1
African American,mustache,yes,0.77,1
